# Method,Threshold,NumberOfFrames,FP,FN,TP,TN,TPR,FPR,TPRMSE
0,7.81705e+07,1810,0,1213,597,68278.1,0.329834,0,6.16862
0,7.93534e+07,1810,10,1180,620,68278.1,0.342541,0.00552486,6.1943
0,8.05364e+07,1810,123,1043,644,68278.1,0.355801,0.0679558,6.28614
0,8.17194e+07,1810,610,540,660,68278.1,0.364641,0.337017,6.30224
0,8.29023e+07,1810,1108,37,665,68278.1,0.367403,0.612155,6.30407
0,8.40852e+07,1810,1145,0,665,68278.1,0.367403,0.632597,6.30407
0,8.52682e+07,1810,1145,0,665,68278.1,0.367403,0.632597,6.30407
0,8.64512e+07,1810,1145,0,665,68278.1,0.367403,0.632597,6.30407
0,8.76341e+07,1810,1145,0,665,68278.1,0.367403,0.632597,6.30407
0,8.8817e+07,1810,1145,0,665,68278.1,0.367403,0.632597,6.30407
0,9e+07,1810,1145,0,665,68278.1,0.367403,0.632597,6.30407
